pid,date,like_rate,mark_rate,is_comic,is_ai,is_Genshin,is_Honkai,comments,views,rank,top_cnt,date_diff_day
108151087,20230515,0.11713745797236606,0.13947039045819323,0,0,0,0,32,40747,2,0,0
108145654,20230515,0.13543228385807096,0.17341329335332334,0,1,0,0,4,2001,14,0,0
108112829,20230515,0.15631691648822268,0.24116702355460384,0,1,0,1,4,3736,25,2,1
108143110,20230515,0.11328671328671329,0.14172494172494174,0,1,0,1,3,2145,23,0,0
108137870,20230515,0.19586410635155097,0.26026587887740027,0,1,1,0,2,3385,22,0,1
108125672,20230515,0.126770060687795,0.18408631153068106,0,1,0,0,1,1483,21,0,1
108133122,20230515,0.20211786372007368,0.28591160220994477,0,1,0,0,4,2172,20,0,1
108140735,20230515,0.16727605118829983,0.21846435100548445,0,1,0,0,0,1094,19,0,1
108101377,20230515,0.1409305461901551,0.24072825354012137,1,1,0,0,0,1483,18,0,2
108124718,20230515,0.13043478260869565,0.17526120660599934,0,1,0,0,1,2967,17,2,1
108105497,20230515,0.16250465896384644,0.22325754752143123,0,1,0,1,0,2683,16,0,2
108138512,20230515,0.18322082931533268,0.25843780135004824,0,1,0,1,1,2074,15,0,1
108142903,20230515,0.15151515151515152,0.19826839826839826,0,1,0,0,0,1155,13,0,0
108111344,20230515,0.14757649607365286,0.23828865421066883,0,1,0,1,0,3693,1,2,1
108146975,20230515,0.12995484194681384,0.17611640742599097,0,1,0,1,0,1993,12,0,0
108135449,20230515,0.14979757085020243,0.208317997791682,0,1,1,0,0,2717,11,0,1
108100041,20230515,0.15433673469387754,0.22339650145772594,0,1,0,0,15,5488,10,2,2
108149443,20230515,0.11214442013129103,0.1460612691466083,0,1,0,1,1,1828,9,0,0
108111117,20230515,0.17439644218551462,0.2366581956797967,0,1,0,1,1,3148,8,0,1
108137685,20230515,0.1712707182320442,0.22617403314917128,0,1,1,0,1,2896,7,0,1
108131498,20230515,0.18712634515743323,0.27600637704264647,0,1,1,0,2,5018,6,2,1
108104749,20230515,0.1743906625472022,0.29042224510813597,0,1,0,0,2,2913,5,0,2
108099282,20230515,0.16216216216216217,0.20867379006913891,0,1,0,0,4,4773,4,2,2
108099275,20230515,0.1652701531349321,0.24386015602427044,0,1,0,1,1,3461,3,2,2
108134616,20230515,0.1353405437006723,0.21601870798012276,0,1,0,0,0,3421,26,0,1
108108725,20230515,0.17081081081081081,0.25405405405405407,0,1,0,0,5,2775,27,0,1
108138938,20230515,0.1369158878504673,0.17710280373831774,0,1,0,1,0,2140,28,0,1
108122139,20230515,0.17543859649122806,0.2569326542161856,0,1,1,0,2,1767,29,0,1
108125479,20230515,0.12741695587506197,0.17947446703024295,0,1,0,0,1,2017,50,0,1
108137208,20230515,0.19820670127418594,0.26663520528551204,0,1,0,0,2,2119,49,0,1
108138553,20230515,0.11707632600258733,0.18046571798188873,0,1,0,1,1,1546,48,0,1
108116219,20230515,0.1881971932349766,0.27383951061532924,0,1,0,1,2,2779,47,0,1
108145367,20230515,0.20160320641282564,0.27575150300601203,0,1,0,1,2,2495,46,0,0
108110897,20230515,0.11749049429657794,0.1661596958174905,0,1,0,0,2,2630,45,0,1
108137863,20230515,0.15126341294565593,0.24610591900311526,0,1,0,0,10,2889,44,0,1
108126197,20230515,0.17357762777242045,0.2420443587270974,0,1,1,0,0,2074,43,0,1
108139200,20230515,0.21574074074074073,0.30833333333333335,0,1,1,0,0,1080,42,0,1
108126153,20230515,0.10355857656937226,0.15113954418232706,0,1,0,1,0,2501,41,0,1
108132655,20230515,0.13820335636722605,0.2073050345508391,0,1,1,0,2,2026,40,0,1
108130789,20230515,0.1376243912767309,0.18632225280542028,0,1,0,1,0,4723,39,0,1
108125290,20230515,0.1165821868211441,0.16727009413468502,0,1,0,0,1,1381,38,0,1
108125551,20230515,0.11606510969568294,0.1542816702052371,0,1,0,0,1,1413,37,0,1
108134232,20230515,0.062183455261676984,0.07962858750703433,0,1,0,0,0,3554,36,0,1
108120814,20230515,0.15402843601895735,0.2292654028436019,0,1,0,0,0,1688,35,0,1
108111522,20230515,0.15682210708117444,0.23523316062176167,0,1,0,1,0,2895,34,0,1
108099270,20230515,0.13864628820960698,0.18995633187772926,0,1,1,0,3,4580,33,0,2
108137929,20230515,0.15777126099706745,0.20850439882697946,0,1,1,0,2,3410,32,0,1
108146814,20230515,0.175146771037182,0.24070450097847357,0,1,0,0,0,1022,31,0,0
108132367,20230515,0.13969292725899823,0.19808708784293985,0,1,0,1,3,3973,30,0,1
108105547,20230515,0.16705533177867288,0.2223871104515582,0,1,1,0,1,4717,2,0,2
108127253,20230515,0.2162839248434238,0.29728601252609604,0,1,1,0,1,2395,24,0,1
108144173,20230515,0.06494370762413292,0.07266335749964768,0,0,0,0,0,127726,1,0,0
108135394,20230515,0.22282489188594884,0.2986146741918933,0,0,1,0,16,13643,14,0,1
108144190,20230515,0.26916757940854324,0.35555859802847756,0,0,0,0,12,7304,24,0,0
108124822,20230515,0.14388259690540756,0.19795820705056627,0,0,1,0,3,6269,23,2,1
108127635,20230515,0.03409801152804463,0.04849649297437441,1,0,0,0,5,43199,22,2,1
108099257,20230515,0.17274544091931052,0.2309517861603797,0,0,0,0,7,8006,21,0,2
108099337,20230515,0.1659599504960539,0.23039623445393495,0,0,0,0,38,49289,20,2,2
108125228,20230515,0.11502236873086885,0.14221803626089005,0,0,0,0,3,8494,19,2,1
108123246,20230515,0.06024274718768502,0.06968620485494376,0,0,0,0,35,33780,18,2,1
108108616,20230515,0.18130038555906064,0.22870662460567823,0,0,0,0,9,11412,17,2,1
108099260,20230515,0.18900082804305823,0.2566933480540988,0,0,0,0,12,14492,16,2,2
108145305,20230515,0.08771709825067402,0.07507262733295714,1,0,0,0,27,47847,15,0,0
108152709,20230515,0.1715901948460088,0.21810182275298554,0,0,0,0,13,7955,13,0,0
108134037,20230515,0.20856320460542097,0.29743343727512594,0,0,0,0,9,8338,26,0,1
108125772,20230515,0.11086336068498037,0.12656082768462362,0,0,0,0,16,11212,12,2,1
108101864,20230515,0.16092016631261688,0.2105597617880422,0,0,0,0,67,55077,11,2,2
108141198,20230515,0.14123900525216732,0.17838385116749983,0,0,0,1,5,15803,10,0,1
108104739,20230515,0.12576440793131138,0.16937426647723763,0,0,0,0,5,16189,9,2,2
108099928,20230515,0.11651086485482573,0.15316040364019068,0,0,0,0,30,16153,8,2,2
108100080,20230515,0.18570949907857262,0.247151951750712,0,0,0,0,20,23876,7,2,2
108142276,20230515,0.06788197430164852,0.08299142569343783,0,0,0,0,0,122109,6,0,1
108111975,20230515,0.08802260149746546,0.08518578802957727,1,0,0,0,49,86012,5,2,1
108120806,20230515,0.06471565619201242,0.06666828374953003,1,0,0,0,100,82453,4,2,1
108099311,20230515,0.12109375,0.19391741071428573,0,0,1,0,1,3584,50,0,2
108138615,20230515,0.13457269700332963,0.17133740288568258,0,0,0,0,9,7208,25,0,1
108115520,20230515,0.22119921212954055,0.3019559342219779,0,0,0,0,26,21831,3,2,1
108154895,20230515,0.12616364527192553,0.1396374326310632,0,0,0,0,10,8164,27,0,0
108132694,20230515,0.09176392499585154,0.10337961170418718,0,0,0,0,9,18079,39,0,1
108134211,20230515,0.19515443648125833,0.2606075981480307,0,0,0,0,27,15767,28,0,1
108099852,20230515,0.1595049042503503,0.20924801494628678,0,0,0,0,4,4282,48,0,2
108143046,20230515,0.09542967492758288,0.10846475700032185,0,0,0,0,8,6214,47,0,0
108152091,20230515,0.2502606882168926,0.3524504692387904,0,0,0,0,15,6713,46,0,0
108109545,20230515,0.03628745916773186,0.04537707711972731,1,0,0,0,2,14082,45,0,1
108125232,20230515,0.1624964049467932,0.22059246476847857,0,0,0,0,7,3477,44,0,1
108108980,20230515,0.07332144979203803,0.08235294117647059,1,0,0,0,6,8415,43,0,1
108115375,20230515,0.08141883362787175,0.0913910628629134,1,0,0,0,13,7922,42,2,1
108145856,20230515,0.08023706405288351,0.08821518121723274,1,0,0,0,28,8774,41,0,0
108112323,20230515,0.21867145421903053,0.3220825852782765,0,0,0,0,2,2785,40,0,1
108100284,20230515,0.18903118040089087,0.23552338530066816,0,0,0,0,5,7184,49,0,2
108145775,20230515,0.04780001187577935,0.0539160382400095,0,0,0,0,17,16841,38,0,0
108137340,20230515,0.1126750184229919,0.09786293294030951,1,0,0,0,19,13570,36,0,1
108134069,20230515,0.27233065442020665,0.3439724454649828,0,0,0,0,3,4355,35,0,1
108116647,20230515,0.030139470616175137,0.031111015156094823,1,0,0,0,44,46318,34,2,1
108122355,20230515,0.03888388452794578,0.031313001329730195,0,0,0,0,92,46626,33,2,1
108158371,20230515,0.15300647548566143,0.19888991674375578,0,0,0,0,6,5405,32,0,0
108121088,20230515,0.07601236314107601,0.09288071664309289,1,0,0,0,15,19089,31,2,1
108132240,20230515,0.05629767297789135,0.06756495140744183,0,0,0,0,15,25827,30,0,1
108119148,20230515,0.03981717862142798,0.034052540558346375,0,0,0,0,80,48572,29,2,1
108102785,20230515,0.07907339347366077,0.08853992649515537,1,0,0,0,8,8979,37,2,2
108094654,20230514,0.18915929203539822,0.27728613569321536,0,1,0,1,0,2712,31,2,1
108068899,20230514,0.16757316757316756,0.2540792540792541,0,1,0,1,2,3861,34,2,2
108110775,20230514,0.14763406940063092,0.20694006309148266,0,1,0,0,2,1585,33,0,0
